state code,state stream,General Requirements,Requirements Canberra Residents,Requirements overseas,service fee
ACT,190,"The Skilled Nominated Visa (subclass 190) lets you live and work in Australia as a permanent resident. You must be nominated by a State or Territory government. Nomination triggers the visa invitation from the Department of Home Affairs.

Two year commitment - If you are nominated by the ACT to apply for a 190 visa, you must live and work in Canberra for at least two years from visa grant, or if you are moving from overseas, date of arrival in Canberra.

How to apply for ACT 190 nomination

You can register an interest in applying for ACT 190 nomination by completing a score-based ' Canberra Matrix ' where points can be claimed against specific criteria including skilled employment, English proficiency, formal qualifications, length of ACT residence / study, investment activity and close family ties, etc. We will rank your Matrix based on the number of points you've claimed. Those who rank high enough will be invited to apply for ACT nomination.

Canberra Matrix

The Canberra Matrix is weighted to ensure that applicants who will make/have made a positive economic contribution to the Territory and/or have demonstrated a genuine commitment to the ACT are more likely to be ranked and invited to apply for ACT nomination.

ACT 190 nomination criteria

Read the 190 nomination eligibility criteria carefully. Once you are satisfied that you meet all the criteria, you can submit the Canberra Matrix.

There is no guarantee that you will be invited to apply for ACT 190 nomination, even if you meet the eligibility criteria. The demand for ACT 190 nomination far exceeds the allocation of nomination places.

Canberra resident applicant eligibility Overseas applicant eligibility

Canberra resident applicant eligibility

Overseas applicant eligibility","Department of Home Affairs Criteria: you meet the relevant Department of Home Affairs Criteria and can apply for your visa. You must meet this criterion when you submit your Canberra Matrix and continue to do so until you receive ACT nomination. This includes having a valid English test and Skill Assessment.
• Your English test and Skill Assessment must be valid at date of Canberra Matrix submission and at date of ACT nomination.

ACT Resident Pathway: you must meet one of the following:
• Your nominated occupation is on the latest ACT Nominated Migration Program Occupation List ;
• You are the majority owner of an eligible registered business located in the ACT and you are claiming Matrix points in the Small Business Owner category. Your nominated occupation does not have to be on the ACT Nominated Migration Program Occupation List if it is on the relevant Department of Home Affairs Skilled Occupation List. The following business types are not eligible: sub tenancy, ride-share, taxi, delivery, courier services, or an on-sold business previously used to qualify for ACT nomination.

Residence in Canberra: you lived in Canberra for at least six months at date of Canberra Matrix submission and continue to do so until the date of invitation. Your bank statements / transaction history must record ACT banking activity for this period. You may also live within a 30-minute commuting distance in NSW e.g., Queanbeyan, Jerrabomberra, and Googong.

Employment in Canberra: You worked in Canberra for at least 26 weeks. You can work for more than one employer, be self-employed, and/or be a Small Business Owner. Employment types can be combined, provided you meet the criteria for each and that you meet the overall hourly or earnings requirements as expressed below.
• Employee You worked a minimum of 30 hours per week in at least 26 out of the 30 weeks before Canberra Matrix submission. Your payslips and bank statements / transaction history must record the income / salary payments (weekly, fortnightly, or monthly) for the claimed period of employment. You work in a genuine position in accordance with Australian terms and conditions of employment. Your weekly income is no less than the relevant award or market salary rate. Unpaid employment such as internships, stipends, scholarships, and volunteer positions, are not eligible. Employer statutory declaration : your employer MUST declare that you are employed in a genuine position in accordance with Australian legislation. If you are working for a large organisation, the statutory declaration may be signed by your manager or direct supervisor. If you are working in Canberra for an interstate employer, there must be a genuine reason for why you are based in Canberra. You cannot be working online, or from a home office.
• Self-employed and you are not claiming Matrix points as a Small Business Owner: Your total (taxable) income is at least $1,175 pw in at least 26 out of the 30 weeks before Canberra Matrix submission. You have at least 12 months ACT business activity on your ABN. You MUST sign a statutory declaration confirming your ABN, location of ACT business, start date of ACT business activity, duties, and annual income.
• Small Business Owner: You are eligible to claim Canberra Matrix points in the Small Business Owner Category. You MUST sign a statutory declaration confirming the details of your business activity, including your ABN, how many people you employ (and for how long), location of ACT business, start date of ACT business activity, duties and annual income.

English: you meet the Department of Home Affairs requirement for ' Proficient ' or ' Superior ' English unless your nominated occupation:
• Is Chef 351311; or,
• Has an ANZSCO skill level of 3 to 5.

Commitment to Canberra: You must sign a declaration committing to living and working in Canberra while your visa is processed and for at least two years from date of visa grant.

If you have a Spouse / Partner, they must be a resident in Canberra for at least six months or living overseas.
• To claim any Matrix points for your spouse or partner y ou must have proof of the relationship: either a marriage certificate, civil partnership/union certificate, or VEVO (Visa Entitlement Verification Online) secondary applicant status for yourself or spouse/partner . The document must be dated before the Matrix is submitted. We do not accept a de facto relationship without a relationship certificate.
• When claiming Matrix points in the spouse / partner employment category, they must meet the Department of Home Affairs requirement for ' competent ' English; or hold an Australian passport.

Service fee : $300","Department of Home Affairs Criteria: you meet the relevant Department of Home Affairs Criteria and can apply for your visa. You must meet this criterion when you submit your Canberra Matrix and continue to do so until you receive ACT nomination. This includes having a valid English test and Skill Assessment.
• Your English test and Skill Assessment must be valid at date of Canberra Matrix submission and at date of ACT nomination.

Nominated occupation: your nominated occupation is on the latest ACT Nominated Migration Program Occupation List .

Relevant overseas work experience : you have at least three years full-time, post graduate work experience in your nominated occupation in the last five years. The work experience must be assessed as relevant by the assessing body in your points tested skill assessment (if the points advice service is provided by the assessing body).
• Your skills and experience in the nominated occupation are relevant to the ACT economy.
• If required, you hold the relevant Australian registration or licence for your nominated occupation.

English: you meet the Department of Home Affairs requirement for ' Proficient ' or ' Superior ' English unless your nominated occupation:
• Is Chef 351311; or,
• Has an ANZSCO skill level of 3 to 5.

ACT employability: you have researched the ACT labour market and you are satisfied that you are employable in Canberra and that your background is relevant to the ACT economy. Please note, you may not be eligible to apply for positions within the Australian Government due to citizenship / security clearance requirements.

Commitment to Canberra: you have researched Canberra and you are committed to living in the ACT.
• You must attach a commitment statement to the application, explaining in your own words why you want to live in Canberra.
• You must sign a declaration committing to living and working in Canberra for at least two years from the date of arrival in Australia.

Residency: you and any migrating dependents (except children enrolled at school in the ACT):
• are living overseas.
• have not lived in Australia for the last 12 months.
• do not hold a current Australian visa (or bridging visa) with the exception of an Australian visitor visa.

Settlement funds : you have access to sufficient money to fund your migration and settlement in Canberra.

If you have a Spouse / Partner and you wish to claim Canberra Matrix points in a spouse or partner category:
• You must have proof of the relationship: either a marriage certificate or civil partnership/union certificate. For ACT nomination purposes, we do not accept a de facto relationship without a relationship certificate unless you cannot legally obtain a relationship certificate in your country of residence.
• When claiming Matrix points in the spouse / partner employment category, they must meet the Department of Home Affairs requirement for 'competent' English; or hold an Australian passport.

Service Fee : $300 Your supporting documentation must evidence your eligibility to apply for ACT nomination and any Matrix score claimed. Please refer to the key document checklist for more information on what documents you need to include.","$300 (overseas), $300 (canberra)"
ACT,491,"The Skilled Regional Work Visa (subclass 491) is a five year provisional visa for skilled workers to live and work in regional Australia. You must be nominated by a state or territory government. Nomination triggers the visa invitation from the Department of Home Affairs.

Two year commitment - If you are nominated by the ACT to apply for a 491 visa, you must live and work in Canberra for at least two years from visa grant, or if you are moving from overseas, date of arrival in Canberra.

How to apply for ACT 491 nomination

You can register an interest in applying for ACT 491 nomination by completing a score-based ' Canberra Matrix ' where points can be claimed against specific criteria including skilled employment, English proficiency, formal qualifications, length of ACT residence / study, investment activity and close family ties, etc. We will rank your Matrix based on the number of points you've claimed. Those who rank high enough will be invited to apply for ACT nomination.

Canberra Matrix

The Canberra Matrix is weighted to ensure that applicants who will make/have made a positive economic contribution to the Territory and/or have demonstrated a genuine commitment to the ACT are more likely to be ranked and invited to apply for ACT nomination.

ACT 491 nomination criteria

Read the 491 nomination eligibility criteria carefully. Once you are satisfied that you meet all the criteria, you can submit the Canberra Matrix.

There is no guarantee that you will be invited to apply for ACT 491 nomination, even if you meet the eligibility criteria. The demand for ACT 491 nomination far exceeds the allocation of nomination places.

Canberra resident applicant eligibility Overseas applicant eligibility

Canberra resident applicant eligibility

Overseas applicant eligibility","Department of Home Affairs Criteria: you meet the relevant Department of Home Affairs Criteria and can apply for your visa. You must meet this criterion when you submit your Canberra Matrix and continue to do so until you receive ACT nomination. This includes having a valid English test and Skill Assessment.
• Your English test and Skill Assessment must be valid at date of Canberra Matrix submission and at date of ACT nomination.

ACT Resident Pathway: you must meet one of the following:
• Your nominated occupation is on the latest ACT Nominated Migration Program Occupation List ;
• You are the majority owner of an eligible registered business located in the ACT and you are claiming Matrix points in the Small Business Owner category. Your nominated occupation does not have to be on the ACT Nominated Migration Program Occupation List if it is on the relevant Department of Home Affairs Skilled Occupation List. The following business types are not eligible: sub tenancy, ride-share, taxi, delivery, courier services, or an on-sold business previously used to qualify for ACT nomination.

Residence in Canberra : you lived in Canberra for at least three months at date of Canberra Matrix submission and continue to do so until the date of invitation. Your bank statements / transaction history must record ACT banking activity for this period. You may also live within a 30-minute commuting distance in NSW e.g., Queanbeyan, Jerrabomberra, and Googong.

Employment in Canberra: You worked in Canberra for at least 13 weeks. You can work for more than one employer, be self-employed, and/or be a Small Business Owner. Employment types can be combined, provided you meet the criteria for each and that you meet the overall hourly or earnings requirements as expressed below.
• Employee You worked a minimum of 15 hours per week in at least 13 out of the 15 weeks before Canberra Matrix submission. Your payslips and bank statements / transaction history must record the income / salary payments (weekly, fortnightly, or monthly) for the claimed period of employment. You work in a genuine position in accordance with Australian terms and conditions of employment. Your weekly income is no less than the relevant award or market salary rate. Unpaid employment such as internships, stipends, scholarships, and volunteer positions, are not eligible. Employer statutory declaration : your employer MUST declare that you are employed in a genuine position in accordance with Australian legislation. If you are working for a large organisation, the statutory declaration may be signed by your manager or direct supervisor. If you are working in Canberra for an interstate employer, there must be a genuine reason for why you are based in Canberra. You cannot be working online, or from a home office.
• Self-employed and you are not claiming Matrix points as a Small Business Owner: Your total (taxable) income is at least $610 pw in at least 13 out of the 15 weeks before Canberra Matrix submission. You have at least 12 months ACT business activity on your ABN. You MUST sign a statutory declaration confirming your ABN, location of ACT business, start date of ACT business activity, duties, and annual income.
• Small Business Owner: You are eligible to claim Canberra Matrix points in the Small Business Owner Category. You MUST sign a statutory declaration confirming the details of your business activity, including your ABN, how many people you employ (and for how long), location of ACT business, start date of ACT business activity, duties and annual income.

English: You meet the Department of Home Affairs requirement for ' competent ' English unless a higher level is required by your assessing authority.

Commitment to Canberra: You must sign a declaration committing to living and working in Canberra while your visa is processed and for at least two years from date of visa grant.

If you have a Spouse / Partner, they must be a resident in Canberra for at least three months or living overseas.
• To claim any Matrix points for your spouse or partner y ou must have proof of the relationship: either a marriage certificate, civil partnership/union certificate, or VEVO (Visa Entitlement Verification Online) secondary applicant status for yourself or spouse/partner . The document must be dated before the Matrix is submitted. We do not accept a de facto relationship without a relationship certificate.
• When claiming Matrix points in the spouse / partner employment category, they must meet the Department of Home Affairs requirement for ' competent ' English; or hold an Australian passport.

Service fee : $300","Department of Home Affairs Criteria: you meet the relevant Department of Home Affairs Criteria and can apply for your visa. You must meet this criterion when you submit your Canberra Matrix and continue to do so until you receive ACT nomination. This includes having a valid English test and Skill Assessment.
• Your English test and Skill Assessment must be valid at date of Canberra Matrix submission and at date of ACT nomination.

Nominated occupation: your nominated occupation is on the latest ACT Nominated Migration Program Occupation List .

Relevant overseas work experience : you have at least one year full time, post graduate work experience in your nominated occupation in the last five years. The work experience must be assessed as relevant by the assessing body in your points tested skill assessment (if the points advice service is provided by the assessing body).
• Your skills and experience in the nominated occupation are relevant to the ACT economy.
• If required, you hold the relevant Australian registration or licence for your nominated occupation.

English: You meet the Department of Home Affairs requirement for ' competent ' English unless a higher level is required by your assessing authority.

ACT employability: you have researched the ACT labour market and you are satisfied that you are employable in Canberra and that your background is relevant to the ACT economy. Please note, you may not be eligible to apply for positions within the Australian Government due to citizenship / security clearance requirements.
• You must attach an employment statement explaining the research undertaken and confirming that you are employable in Canberra. The statement should include recent job vacancies you are eligible for.

Commitment to Canberra: you have researched Canberra and you are committed to living in the ACT.
• You must attach a commitment statement to the application, explaining in your own words why you want to live in Canberra.
• You must sign a declaration committing to living and working in Canberra for at least two years from the date of arrival in Australia.

Residency: you and any migrating dependents (except children enrolled at school in the ACT):
• are living overseas.
• have not lived in Australia for the last 12 months.
• do not hold a current Australian visa (or bridging visa) with the exception of an Australian visitor visa.

Settlement funds : you have access to sufficient money to fund your migration and settlement in Canberra.

If you have a Spouse / Partner and you wish to claim Canberra Matrix points in a spouse or partner category :
• You must have proof of the relationship: either a marriage certificate or civil partnership/union certificate. For ACT nomination purposes, we do not accept a de facto relationship without a relationship certificate unless you cannot legally obtain a relationship certificate in your country of residence.
• When claiming Matrix points in the spouse / partner employment category, they must meet the Department of Home Affairs requirement for 'competent' English; or hold an Australian passport.

Service Fee : $300","$300 (overseas), $300 (canberra)"
