state code,state stream,requirements,service fee
NT,Graduates,"--- WHAT IS A NORTHERN TERRITORY GOVERNMENT NOMINATION? ---

Australia's Northern Territory (NT) Government participates in the Skilled Work Regional (Provisional) (subclass 491) visa and Skilled Nominated (subclass 190) visa schemes.
The NT Government may nominate you for a skilled visa if you:
• meet the Australian Government’s standard requirements, and
• meet NT Government’s nomination eligibility, and
• commit to living and working in the NT within your skilled occupation for at least 3 years upon the grant of your visa.

--- SKILLED WORK REGIONAL (PROVISIONAL) (SUBCLASS 491) VISA ---

This is a provisional 5-year visa that will allow you and your dependant family members to live, work and study in a regional area such as the NT.
If you are nominated for the subclass 491 visa by the NT Government, you and your dependant family members will be expected to live and work in the NT for at least 3 years before qualifying for a permanent residency pathway.
You may be subject to reporting commitments by the Department of Home Affairs.
You may have to provide supporting evidence and / or attend an interview with the Department of Home Affairs to show that you are or have been living and working in regional Australia.
The NT Government may also conduct independent compliance checks and / or surveys to ensure that you are still living and working in the NT.

--- SKILLED NOMINATED (SUBCLASS 190) VISA ---

This is a permanent visa which lets you stay in Australia indefinitely.
If you are nominated for the subclass 190 visa by the NT Government, you and your dependent family members will be expected to live and work in the NT for at least 3 years from visa grant.
To get help to find the right visa, use the Australian Government's visa finder .

--- WHAT YOU NEED TO KNOW ---

The NT Government will decide whether you are offered a nomination.
A condition of NT Government nomination is that you agree to work, live and settle for at least 3 years in the NT after your visa has been granted.
The NT Government will consider your employment prospects in the NT and whether they meet the needs of NT industries when making a decision to offer you a nomination.
A nomination by the NT Government is not a job guarantee.
Occupations on the NT Migration Occupation List are not job vacancies.
You will be responsible for finding your own employment and accommodation once you arrive and settle in the NT. The NT Government can provide information and some assistance to nominated skilled migrants.
By applying for a nomination, you must understand that the NT Government:
• supports a nomination solely to the NT and does not apply outside of the NT
• is not responsible for finding you employment, accommodation or providing financial assistance
• is not liable for any inaccuracies or omissions in the information it provides you relating to your application, nor are its employees
• will not issue release letters for transfer to other states/territories outside of the NT.

--- WHO GRANTS YOUR VISA? ---

The Australian Government’s Department of Home Affairs grants your visa.
The NT Government does not approve or grant visas.",-
NT,Residents,"This list is only applicable for those applying for Northern Territory (NT) nomination from outside Australia, under the priority occupation stream . If you are currently living in the NT or living overseas and applying under the NT family stream or the NT job offer stream, you can nominate any occupation on the national eligibility list for the subclass 491 visa on the Australian Government Department of Home Affairs website .
The Department of Home Affairs utilise the 2013 ANZSCO version for occupation descriptions for the skilled visa subclasses 491 and 190.
Please note: Offshore applicants will generally only be considered for a nomination for a subclass 491 visa.",-
NT,Offshore,,-
